,"REFERENCES:  https://www.behance.net/gallery/248676567/NHU-DUA-CO-DOI-Card-Design?tracking_source=search_projects|vietnamese+culture&l=97

CÁC NÉT VẼ SẼ THEO INSPO NHƯ NÀY ",,,,,,,,,
BIG IDEA,TYPE,,TONE & MOOD,VISUAL,TEXT,,REFERENCES,PIC,STATUS,NOTE
TAB FINAL,ẢNH COVER ,,"Tươi sáng, ấm áp",Background: ảnh làng quê Bắc Ninh với những yêu tố nổi bật liên quan đến Bắc Ninh. Sau đó dựng bánh phu thê ở giữa hình ,TITLE,BÁNH PHU THÊ,,DUYÊN,ĐON,FEEDBACK MAGAZINES 27/6
,,,,,MAIN TEXT,"GÓI TRỌN LỜI THỀ SẮC SON QUA HÀNG THIÊN NIÊN KỶ
",,,,FEEDBACK MAGAZINES 27/6
,,,,,SUBTEXT,ĐÌNH BẢNG - TỪ SƠN BẮC NINH,,,,FEEDBACK MAGAZINES 27/6
,CHƯƠNG I,ARTWORK 1,,"TYPO CHƯƠNG I
Số 1 nhỏ để trên đầu",TITLE,Nguồn gốc của Bánh Phu Thê,REF TRÍCH DẪN.png,DUYÊN,ĐANG LÀM,
,,ARTWORK 2,,"
Vẽ hình ảnh vợ + vua Lý Anh Tông",,,"Ref vua + vợ.png
Nguyên tác Vua Lý Anh Tông.webp",DUYÊN,ĐANG LÀM,FEEDBACK MAGAZINES 27/6
,CHƯƠNG II,ARTWORK 1,,TYPO CHƯƠNG II,TITLE,"NGỌT BÙI HÒA QUYỆN, VẸN TRÒN ĐẠO PHU THÊ
",,DUYÊN,ĐANG LÀM,
,,ART WORK 2,Truyền thống - Tinh tế,"ĐỒ HỌA VỀ BÁNH PHU THÊ, ĐẶT 1 BÁNH PHU THÊ Ở GIỮA VÀ KHI ÁN VÀO SẼ BUNG RA TỪNG NGUYÊN LIỆU TƯƠNG ỨNG VỚI TỪNG NGUYÊN TỐ NGŨ HÀNH",,"Mộc (Màu xanh - Lá dong, lá chuối ): Bao bọc bên ngoài chiếc bánh là lớp lá dong, lá chuối xanh mướt – sắc màu của cỏ cây, của sự sinh sôi và sức sống bền bỉ. Trong quan niệm ngũ hành, Mộc tượng trưng cho sự phát triển, cho mái ấm gia đình luôn đơm hoa kết trái và tràn đầy sinh khí.

Kim (Màu trắng - Dừa nạo và vị ngọt thanh của đường ): Vị ngọt thanh hòa quyện cùng những sợi dừa trắng trong nhân bánh gợi liên tưởng đến hành Kim. Đây là biểu tượng của sự tinh khiết, thủy chung và bền vững – những giá trị cốt lõi trong tình nghĩa phu thê.

Thổ (Màu vàng - Quả dành dành và nhân đậu xanh ): Màu vàng óng của lớp vỏ bánh được nhuộm từ quả dành dành tự nhiên hòa quyện với sắc vàng của nhân đậu xanh bên trong. 

Hành Thổ tượng trưng cho sự ổn định, ấm áp và là nền tảng vững chắc nâng đỡ hạnh phúc gia đình qua năm tháng.

Hỏa (Màu đỏ - Sợi lạt đỏ buộc bánh ): Nổi bật trên nền xanh của lớp lá là sợi lạt đỏ thắm buộc chéo quanh cặp bánh. Sắc đỏ của hành Hỏa tượng trưng cho niềm vui ngày cưới, cho ngọn lửa yêu thương và sự gắn kết nồng ấm của đôi lứa.

Thủy: Để tạo nên lớp vỏ trong veo, mềm mại đặc trưng của bánh phu thê không thể thiếu nước - yếu tố đại diện cho hành Thủy. Thủy là biểu tượng của sự hài hòa, linh hoạt và dòng chảy cảm xúc bền bỉ, kết nối hai con người trong cuộc sống hôn nhân.
",,DUY,ĐANG LÀM,ẢNH VẼ MINH HỌA + CHUYỂN ĐỘNG 
,,ARTWORK 2,Truyền thống - Tinh tế,"TRÍCH DẪN CỦA NGHỆ NHÂN
Dấu ngoặc kép để trên đầu",MAIN TEXT,"Nghệ nhân Nguyễn Đình Minh (68 tuổi), người đã dành trọn tâm huyết với chiếc bánh quê hương chia sẻ: “Làm ra được một mẻ bánh là cả một sự kỳ công của gia đình. Từ lúc tờ mờ sáng, chúng tôi đã phải thức giấc để chuẩn bị nhân bánh. Riêng phần nhân đậu xanh sau khi sên xong, phải đợi thêm 3 đến 4 tiếng cho nguội hẳn thì mới có thể bắt tay vào nặn bánh. Mọi công đoạn đều phải tuân thủ đúng nhịp độ thời gian, không thể vội vàng, cũng chẳng thể làm dối.”","REF TRÍCH DẪN.png
Máy na",DUYÊN,ĐANG LÀM,
,Chương III,ARTWORK 1,Truyền thống - Tinh tế,TYPO  CHƯƠNG 3,TITLE,Kỹ nghệ tạc hình hạnh phúc,,DUYÊN,ĐANG LÀM,
,,ARTWORK 2,Truyền thống - Tinh tế,VIDEO,MAIN TEXT,,,THÙY LINH,ĐANG LÀM,
,,ARTWORK 3,,TRÍCH DẪN CỦA THỢ LÀM BÁNH,MAIN TEXT,"""Kỳ công nhất của nghề là khâu ủ và nặn bột. Muốn bánh có độ trong veo như ngọc, lượng nước dành dành phải đạt đến sự chuẩn xác tuyệt đối: thừa một chút sắc sẽ đậm, thiếu một chút bánh sẽ mờ. Khi nhào bột, đôi bàn tay người thợ phải cảm được độ dẻo để gia giảm nước sao cho bột không quá mềm, cũng chẳng quá rắn. Đến lúc dàn bột và nặn nhân, mọi thao tác phải thật đều và chắc tay để chiếc bánh ra lò vuông vắn, kín kẽ, không một vết hở. Chiếc bánh đẹp hay không, hơn nhau chính ở sự tỉ mỉ trong từng nhịp tay ấy."" Thợ làm bánh phu thê Nguyễn Đăng Mạnh chia sẻ.",Thợ làm bánh.PNG,DUYÊN,ĐANG LÀM,"Bạn này không phải nghệ nhân, chỉ là thợ làm bánh của nhà"
,CHƯƠNG IV,ARTWORK 1,,TYPO CHƯƠNG 4,TITLE," Lát cắt văn hóa trong nhịp sống đương đại ",,DUYÊN,,
,,ARTWORK 2,,"Layout ảnh theo ref: 
Ảnh bánh Xu Xê thời xưa + Nay để hai bên, Text ở giữa",,,,DUYÊN,,
,,ARTWORK 3,,3D bánh Minh Thu,MAIN TEXT,Truyền thống - Hiện đại,,DUY,ĐON,
,CHƯƠNG V,ARTWORK 1,,TYPO CHƯƠNG 5,TITLE,"Giữ nếp Kinh Bắc, vẹn nghĩa trăm năm",,DUYÊN,,
,,ARTWORK 2,,"Vẽ 1 cái bánh phu thê hoàn chỉnh rõ bánh, rõ lá, có chữ hỷ
Vẽ 1 cái bánh phu thê hoàn chỉnh rõ bánh, rõ lá, có chữ hỷ + note ở trên cái bánh
",MAIN TEXT,"“Hộp vuông xếp lá dừa xanh,
 Và đây đôi bánh cho anh, cho nàng.
 Chúc cho thắm đượm đá vàng,
 Sắt son tơ tóc buộc ràng phu thê.”",Canva,DUYÊN,,
,,ARTWORK 3,Lắng đọng,"Ảnh nghệ nhân lớn tuổi đang ngồi làm bánh, full màn
Để text bên cạnh",MAIN TEXT,"Những nghệ nhân vẫn miệt mà 
giữ nghề như giữ một phần 
ký ức của dân tộc",,DUYÊN,,
